tambon_code,dist_city_km,nearest_city,nearest_city_prov
350102,62.57,ร้อยเอ็ด,ร้อยเอ็ด
350103,69.0,ร้อยเอ็ด,ร้อยเอ็ด
350104,56.626,ร้อยเอ็ด,ร้อยเอ็ด
350105,49.921,ร้อยเอ็ด,ร้อยเอ็ด
350106,49.52,ร้อยเอ็ด,ร้อยเอ็ด
350107,47.275,ร้อยเอ็ด,ร้อยเอ็ด
350108,54.031,ร้อยเอ็ด,ร้อยเอ็ด
350109,60.924,ร้อยเอ็ด,ร้อยเอ็ด
350110,70.39,ร้อยเอ็ด,ร้อยเอ็ด
350111,67.892,ร้อยเอ็ด,ร้อยเอ็ด
350112,66.464,ร้อยเอ็ด,ร้อยเอ็ด
350113,73.253,ร้อยเอ็ด,ร้อยเอ็ด
350114,73.213,ร้อยเอ็ด,ร้อยเอ็ด
350115,68.926,ศรีสะเกษ,ศรีสะเกษ
350116,59.609,ร้อยเอ็ด,ร้อยเอ็ด
350117,65.637,ร้อยเอ็ด,ร้อยเอ็ด
350118,78.784,ร้อยเอ็ด,ร้อยเอ็ด
350201,65.345,ร้อยเอ็ด,ร้อยเอ็ด
350202,61.288,กุฉินารายณ์,กาฬสินธุ์
350203,54.647,ร้อยเอ็ด,ร้อยเอ็ด
350204,52.176,กุฉินารายณ์,กาฬสินธุ์
350205,72.647,ร้อยเอ็ด,ร้อยเอ็ด
350301,58.795,กุฉินารายณ์,กาฬสินธุ์
350302,70.401,กุฉินารายณ์,กาฬสินธุ์
350303,75.042,กุฉินารายณ์,กาฬสินธุ์
350304,69.289,กุฉินารายณ์,กาฬสินธุ์
350305,62.991,กุฉินารายณ์,กาฬสินธุ์
350306,58.841,กุฉินารายณ์,กาฬสินธุ์
350307,52.151,กุฉินารายณ์,กาฬสินธุ์
350308,53.611,กุฉินารายณ์,กาฬสินธุ์
350309,47.101,กุฉินารายณ์,กาฬสินธุ์
350401,59.314,ศรีสะเกษ,ศรีสะเกษ
350402,66.928,ศรีสะเกษ,ศรีสะเกษ
350403,61.123,ศรีสะเกษ,ศรีสะเกษ
350404,64.028,ศรีสะเกษ,ศรีสะเกษ
350405,70.019,ศรีสะเกษ,ศรีสะเกษ
350406,58.601,แจระแม,อุบลราชธานี
350407,51.713,ศรีสะเกษ,ศรีสะเกษ
350408,63.463,แจระแม,อุบลราชธานี
350409,51.126,แจระแม,อุบลราชธานี
350410,56.662,ศรีสะเกษ,ศรีสะเกษ
350411,67.557,ศรีสะเกษ,ศรีสะเกษ
350412,53.8,ศรีสะเกษ,ศรีสะเกษ
350413,65.467,ศรีสะเกษ,ศรีสะเกษ
350501,75.884,แจระแม,อุบลราชธานี
350502,77.402,ศรีสะเกษ,ศรีสะเกษ
350503,80.919,กุฉินารายณ์,กาฬสินธุ์
350504,71.746,แจระแม,อุบลราชธานี
350505,73.901,แจระแม,อุบลราชธานี
350601,45.892,ศรีสะเกษ,ศรีสะเกษ
350602,53.113,ศรีสะเกษ,ศรีสะเกษ
350603,46.9,ศรีสะเกษ,ศรีสะเกษ
350604,38.74,ศรีสะเกษ,ศรีสะเกษ
350605,51.203,ศรีสะเกษ,ศรีสะเกษ
350606,40.356,ศรีสะเกษ,ศรีสะเกษ
350607,47.645,ศรีสะเกษ,ศรีสะเกษ
350608,44.668,ศรีสะเกษ,ศรีสะเกษ
350609,54.784,ศรีสะเกษ,ศรีสะเกษ
350610,39.134,ศรีสะเกษ,ศรีสะเกษ
350701,26.694,ศรีสะเกษ,ศรีสะเกษ
350702,33.922,ศรีสะเกษ,ศรีสะเกษ
350703,32.574,ศรีสะเกษ,ศรีสะเกษ
350704,28.144,ศรีสะเกษ,ศรีสะเกษ
350802,85.201,กุฉินารายณ์,กาฬสินธุ์
350803,65.762,กุฉินารายณ์,กาฬสินธุ์
350805,46.826,กุฉินารายณ์,กาฬสินธุ์
350806,57.078,กุฉินารายณ์,กาฬสินธุ์
350807,50.951,กุฉินารายณ์,กาฬสินธุ์
350810,67.42,กุฉินารายณ์,กาฬสินธุ์
350811,60.126,กุฉินารายณ์,กาฬสินธุ์
350812,74.358,กุฉินารายณ์,กาฬสินธุ์
350813,70.046,กุฉินารายณ์,กาฬสินธุ์
350814,50.211,กุฉินารายณ์,กาฬสินธุ์
350901,67.489,กุฉินารายณ์,กาฬสินธุ์
350902,75.636,กุฉินารายณ์,กาฬสินธุ์
350903,57.567,กุฉินารายณ์,กาฬสินธุ์
350904,61.426,กุฉินารายณ์,กาฬสินธุ์
350905,72.178,กุฉินารายณ์,กาฬสินธุ์
360101,50.614,บัวใหญ่,นครราชสีมา
360102,53.805,บัวใหญ่,นครราชสีมา
360103,46.792,บัวใหญ่,นครราชสีมา
360104,61.069,บัวใหญ่,นครราชสีมา
360105,45.405,บัวใหญ่,นครราชสีมา
360106,38.618,บัวใหญ่,นครราชสีมา
360107,54.039,บัวใหญ่,นครราชสีมา
360108,52.265,บัวใหญ่,นครราชสีมา
360109,53.54,บัวใหญ่,นครราชสีมา
360110,48.954,บัวใหญ่,นครราชสีมา
360111,34.235,บัวใหญ่,นครราชสีมา
360112,40.453,บัวใหญ่,นครราชสีมา
360113,57.196,ชุมแพ,ขอนแก่น
360114,67.693,ชุมแพ,ขอนแก่น
360115,41.792,บัวใหญ่,นครราชสีมา
360116,38.825,บัวใหญ่,นครราชสีมา
360117,61.189,บัวใหญ่,นครราชสีมา
360118,43.881,บัวใหญ่,นครราชสีมา
360119,43.373,ชุมแพ,ขอนแก่น
360201,60.823,บัวใหญ่,นครราชสีมา
360202,67.638,บัวใหญ่,นครราชสีมา
360203,57.12,บัวใหญ่,นครราชสีมา
360204,74.212,วิเชียรบุรี,เพชรบูรณ์
360205,76.248,ชุมแพ,ขอนแก่น
360206,62.041,บัวใหญ่,นครราชสีมา
360301,33.379,เมืองพล,ขอนแก่น
360302,33.648,เมืองพล,ขอนแก่น
360303,41.618,เมืองพล,ขอนแก่น
360304,30.866,บัวใหญ่,นครราชสีมา
360305,47.122,เมืองพล,ขอนแก่น
360306,41.169,บัวใหญ่,นครราชสีมา
360307,41.381,เมืองพล,ขอนแก่น
360308,34.947,บัวใหญ่,นครราชสีมา
360309,35.66,เมืองพล,ขอนแก่น
360401,33.271,ชุมแพ,ขอนแก่น
360402,25.227,ชุมแพ,ขอนแก่น
360403,52.325,ชุมแพ,ขอนแก่น
360404,21.801,ชุมแพ,ขอนแก่น
360405,27.382,ชุมแพ,ขอนแก่น
360406,42.201,ชุมแพ,ขอนแก่น
360407,33.662,ชุมแพ,ขอนแก่น
360408,45.951,ชุมแพ,ขอนแก่น
360409,23.967,ชุมแพ,ขอนแก่น
360410,37.433,ชุมแพ,ขอนแก่น
360412,34.634,ชุมแพ,ขอนแก่น
360501,46.324,ชุมแพ,ขอนแก่น
360502,62.736,ชุมแพ,ขอนแก่น
360503,63.463,วิเชียรบุรี,เพชรบูรณ์
360504,63.878,หล่มสัก,เพชรบูรณ์
360507,53.442,ชุมแพ,ขอนแก่น
360508,69.261,ชุมแพ,ขอนแก่น
360509,69.058,วิเชียรบุรี,เพชรบูรณ์
360511,71.06,ชุมแพ,ขอนแก่น
360601,62.899,บัวใหญ่,นครราชสีมา
360602,65.945,บัวใหญ่,นครราชสีมา
360603,66.287,นครราชสีมา,นครราชสีมา
360605,71.379,บัวใหญ่,นครราชสีมา
360606,72.236,วิเชียรบุรี,เพชรบูรณ์
360607,55.189,บัวใหญ่,นครราชสีมา
360610,60.714,บัวใหญ่,นครราชสีมา
360611,58.644,นครราชสีมา,นครราชสีมา
360613,71.437,บัวใหญ่,นครราชสีมา
360701,60.775,วิเชียรบุรี,เพชรบูรณ์
360702,66.971,นครราชสีมา,นครราชสีมา
360703,68.375,นครราชสีมา,นครราชสีมา
360704,61.975,นครราชสีมา,นครราชสีมา
360705,61.486,วิเชียรบุรี,เพชรบูรณ์
360706,56.676,วิเชียรบุรี,เพชรบูรณ์
360707,52.634,วิเชียรบุรี,เพชรบูรณ์
360801,73.759,วิเชียรบุรี,เพชรบูรณ์
360802,53.783,วิเชียรบุรี,เพชรบูรณ์
360803,64.211,วิเชียรบุรี,เพชรบูรณ์
360804,65.132,วิเชียรบุรี,เพชรบูรณ์
360805,63.756,วิเชียรบุรี,เพชรบูรณ์
360901,43.197,วิเชียรบุรี,เพชรบูรณ์
360902,47.033,วิเชียรบุรี,เพชรบูรณ์
360903,42.713,วิเชียรบุรี,เพชรบูรณ์
360904,36.38,วิเชียรบุรี,เพชรบูรณ์
360905,43.11,วิเชียรบุรี,เพชรบูรณ์
361001,21.652,ชุมแพ,ขอนแก่น
361002,32.971,ชุมแพ,ขอนแก่น
361003,14.829,ชุมแพ,ขอนแก่น
361004,12.48,ชุมแพ,ขอนแก่น
361005,19.382,ชุมแพ,ขอนแก่น
361006,29.058,ชุมแพ,ขอนแก่น
361007,8.092,ชุมแพ,ขอนแก่น
361008,22.824,ชุมแพ,ขอนแก่น
361009,24.065,ชุมแพ,ขอนแก่น
361010,34.306,ชุมแพ,ขอนแก่น
361011,36.087,ชุมแพ,ขอนแก่น
361101,34.015,ชุมแพ,ขอนแก่น
361102,25.458,ชุมแพ,ขอนแก่น
361103,41.271,ชุมแพ,ขอนแก่น
361104,40.51,ชุมแพ,ขอนแก่น
361105,42.239,ชุมแพ,ขอนแก่น
361201,50.522,ชุมแพ,ขอนแก่น
361202,41.109,ชุมแพ,ขอนแก่น
361203,55.117,เมืองพล,ขอนแก่น
361204,47.383,บ้านไผ่,ขอนแก่น
361205,44.733,ชุมแพ,ขอนแก่น
361206,41.505,ชุมแพ,ขอนแก่น
361207,47.523,ชุมแพ,ขอนแก่น
361208,52.686,ชุมแพ,ขอนแก่น
361209,41.818,ชุมแพ,ขอนแก่น
361210,49.406,ชุมแพ,ขอนแก่น
361301,18.4,ชุมแพ,ขอนแก่น
361302,42.064,ชุมแพ,ขอนแก่น
361303,7.906,ชุมแพ,ขอนแก่น
361304,19.437,ชุมแพ,ขอนแก่น
361305,48.476,ชุมแพ,ขอนแก่น
361306,14.253,ชุมแพ,ขอนแก่น
361307,23.921,ชุมแพ,ขอนแก่น
361308,9.594,ชุมแพ,ขอนแก่น
