PROV_CODE,PROV_NAM_T,AMP_CODE,AMPHOE_T,TAM_CODE,TAM_NAM_T,tambon_area_rai,share_agriculture,share_forest,share_urban,share_water,share_misc,dominant_landuse,dominant_subtype,dominant_subtype_code,landuse_hhi,landuse_diversity,dominant_landuse_map
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,02,ต.อินทประมูล,7150.625197310097,0.7511306059238304,0.0,0.15670517719667357,0.08062313565695269,0.011541081222543355,agriculture,,,0.5953869862746862,0.4046130137253138,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,01,ต.จรเข้ร้อง,7294.708518523773,0.6738299229358958,0.0,0.20542288946556084,0.07646386214378462,0.04428332545475864,agriculture,,,0.5040530636874511,0.49594693631254894,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,04,ต.เทวราช,6018.228553865083,0.6470989882799594,0.0,0.1255859100276943,0.14917314877758855,0.07814195291475774,agriculture,,,0.4628677145519839,0.5371322854480161,agriculture
15,จ.อ่างทอง,07,อ.สามโก้,05,ต.มงคลธรรมนิมิต,12422.499807771072,0.8800560803039935,0.0,0.09520235806383319,0.02407971963531506,0.0006618419968582452,agriculture,,,0.7841424643934877,0.21585753560651233,agriculture
15,จ.อ่างทอง,06,อ.วิเศษชัยชาญ,12,ต.ม่วงเตี้ย,16945.409927830045,0.8202092578675162,0.0,0.12379321799982164,0.04041313150486815,0.015584392627793944,agriculture,,,0.68994408200594,0.31005591799405996,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,03,ต.บางพลับ,3714.0441578695195,0.6990692141395444,0.0,0.27709608385507306,0.023834702005382496,0.0,agriculture,,,0.5660480988651833,0.43395190113481674,agriculture
15,จ.อ่างทอง,02,อ.ไชโย,03,ต.ชัยฤทธิ์,5990.671093031677,0.6764103927796895,0.0,0.1919002401833099,0.05761606128719556,0.07407330574980496,agriculture,,,0.5031631867857398,0.4968368132142602,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,13,ต.สามง่าม,3391.0851878381386,0.8119947986256557,0.0,0.14491965921054856,0.04308554216379581,0.0,agriculture,,,0.6821936245643689,0.31780637543563106,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,11,ต.บ่อแร่,4407.547808251545,0.7053682796984303,0.0,0.11825548755956995,0.06510586175438203,0.11127037098761774,agriculture,,,0.5281486390371775,0.47185136096282254,agriculture
15,จ.อ่างทอง,07,อ.สามโก้,02,ต.ราษฎรพัฒนา,10517.967000196819,0.8675093903745923,0.0,0.0931743392096101,0.030839673235689473,0.008476597180108158,agriculture,,,0.7622769380202822,0.23772306197971782,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,14,ต.ย่านซื่อ,4410.390257181937,0.44508659050771215,0.0,0.2625775077119226,0.22191921539059856,0.07041668638976677,agriculture,,,0.3212556684876783,0.6787443315123217,agriculture
15,จ.อ่างทอง,07,อ.สามโก้,01,ต.สามโก้,12369.210244727303,0.7813299789159024,0.0,0.1498492894206827,0.06518882389564601,0.00363190776776889,agriculture,,,0.6371941190075392,0.3628058809924608,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,06,ต.ตลาดกรวด,4931.5983699804365,0.5921713530486146,0.0,0.21883869296024075,0.11591487381843266,0.07307508017271207,agriculture,,,0.4173335102225649,0.5826664897774352,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,04,ต.ป่างิ้ว,7360.469170164164,0.6800866189953579,0.0,0.25010863088019386,0.05125220980175281,0.018552540322695314,agriculture,,,0.5280431223392904,0.4719568776607096,agriculture
15,จ.อ่างทอง,04,อ.โพธิ์ทอง,07,ต.โพธิ์รังนก,4268.355765372936,0.7684810188090092,0.0,0.1517764077231392,0.0713039221846092,0.008438651283242343,agriculture,,,0.6187546143654623,0.3812453856345377,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,03,ต.ศาลาแดง,5466.059446775379,0.5612200793823616,0.0,0.32364823861451025,0.06542895755109342,0.04970272445203465,agriculture,,,0.42646746916439693,0.5735325308356031,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,12,ต.บ้านรี,3541.182380923077,0.7856609672163427,0.0,0.1333477725368822,0.053731166642507835,0.02726009360426726,agriculture,,,0.6386749348199455,0.36132506518005447,agriculture
15,จ.อ่างทอง,07,อ.สามโก้,03,ต.อบทม,11492.09476841888,0.8456647661580422,0.0,0.11395556362172245,0.037115509273795026,0.0032641609464402286,agriculture,,,0.7295229829768181,0.27047701702318194,agriculture
15,จ.อ่างทอง,06,อ.วิเศษชัยชาญ,01,ต.ไผ่จำศีล,8590.503541537186,0.6756086650494192,0.0,0.23875743299488877,0.052667830357849256,0.03296607159784277,agriculture,,,0.5173128423313644,0.48268715766863557,agriculture
15,จ.อ่างทอง,06,อ.วิเศษชัยชาญ,02,ต.ศาลเจ้าโรงทอง,6556.263833736888,0.6575576710682134,0.0,0.269277623678022,0.045310255413603895,0.027854449840160753,agriculture,,,0.5077214190158792,0.4922785809841208,agriculture
15,จ.อ่างทอง,06,อ.วิเศษชัยชาญ,06,ต.ยี่ล้น,9898.5580430073,0.7435592547354141,0.0,0.16051802628119988,0.026988449569851213,0.06893426941353481,agriculture,,,0.5841267119736586,0.4158732880263414,agriculture
15,จ.อ่างทอง,06,อ.วิเศษชัยชาญ,13,ต.หัวตะพาน,4958.737704732459,0.7031838855178947,0.0,0.20433459272937443,0.0722850975362512,0.020196424216479648,agriculture,,,0.5418532335148802,0.45814676648511976,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,08,ต.บ้านอิฐ,5221.515704347952,0.49328269938845176,0.0,0.41496893946748226,0.052848006458916005,0.038900354685150046,agriculture,,,0.4198331916200367,0.5801668083799634,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,07,ต.มหาดไทย,6500.8808168986225,0.7108089503833868,0.0,0.09866224952915853,0.043171203082714125,0.1473575970047407,agriculture,,,0.5385616175979063,0.46143838240209367,agriculture
15,จ.อ่างทอง,01,อ.เมืองอ่างทอง,01,ต.ตลาดหลวง,761.0444998179266,0.03378700584580127,0.0,0.6801175769223774,0.25988119317819575,0.026214224053625494,urban,,,0.5319269003132465,0.4680730996867535,urban
